Country,Clicks,Impressions,CTR,Position
United States,43166,2005872,2.15%,15.56
Canada,36,13932,0.26%,21.06
Pakistan,17,1927,0.88%,32.1
United Kingdom,15,21022,0.07%,34.23
France,14,3086,0.45%,33.37
India,13,11631,0.11%,32.73
Mexico,13,4437,0.29%,27.88
South Korea,10,7706,0.13%,39.24
Puerto Rico,8,517,1.55%,16.95
Japan,7,2470,0.28%,33.08
Italy,5,4906,0.1%,40.82
Philippines,5,4178,0.12%,31.24
Germany,4,4904,0.08%,34.23
Bangladesh,4,2104,0.19%,33.09
Netherlands,4,2095,0.19%,33.45
Dominican Republic,4,622,0.64%,29.33
Kuwait,4,252,1.59%,23.75
Brazil,3,40907,0.01%,34.32
Russia,3,17035,0.02%,33.86
Egypt,3,1815,0.17%,34.47
Peru,3,922,0.33%,33.03
United Arab Emirates,3,808,0.37%,28.66
Vietnam,2,7937,0.03%,36.02
Spain,2,2350,0.09%,35.6
Colombia,2,1838,0.11%,32.64
Switzerland,2,1124,0.18%,34.45
Nigeria,2,506,0.4%,28.83
Costa Rica,2,338,0.59%,30.53
Georgia,2,317,0.63%,29.63
Qatar,2,170,1.18%,31.52
Seychelles,2,131,1.53%,27.05
St. Kitts & Nevis,2,100,2%,24.34
St. Lucia,2,84,2.38%,28.38
Guam,2,70,2.86%,16.89
Yemen,2,43,4.65%,12.63
Iceland,2,39,5.13%,28.87
Djibouti,2,15,13.33%,7.33
Indonesia,1,3703,0.03%,31.82
Australia,1,3652,0.03%,41.61
Turkey,1,3019,0.03%,33.17
Ukraine,1,2742,0.04%,31.57
South Africa,1,2355,0.04%,34.86
Malaysia,1,2256,0.04%,34.08
Saudi Arabia,1,1991,0.05%,31.12
Iraq,1,1634,0.06%,30.21
Morocco,1,1458,0.07%,33.92
Romania,1,1426,0.07%,35.02
Trinidad & Tobago,1,1230,0.08%,27.88
Lithuania,1,1033,0.1%,41.74
Uzbekistan,1,1032,0.1%,32.82
New Zealand,1,974,0.1%,36.6
Jordan,1,787,0.13%,25.8
Sweden,1,672,0.15%,33.74
