Top pages,Clicks,Impressions,CTR,Position
https://myeyerx.net/,4003,82641,4.84%,9.99
https://myeyerx.net/michigan-window-tint-medical-exemption/,2048,93471,2.19%,15.81
https://myeyerx.net/minnesota-window-tint-medical-exemption/,1999,84208,2.37%,18.78
https://myeyerx.net/florida-window-tint-medical-exemption/,1928,126576,1.52%,19.17
https://myeyerx.net/ohio-window-tint-medical-exemption/,1912,111660,1.71%,24.85
https://myeyerx.net/texas-window-tint-medical-exemption/,1805,134617,1.34%,15.42
https://myeyerx.net/california-window-tint-medical-exemption/,1407,119240,1.18%,17.83
https://myeyerx.net/new-york-window-tint-medical-exemption/,1393,161692,0.86%,19.89
https://myeyerx.net/south-carolina-window-tint-medical-exemption/,1168,28582,4.09%,13.47
https://myeyerx.net/wisconsin-window-tint-medical-exemption/,1010,39261,2.57%,17.99
https://myeyerx.net/pennsylvania-window-tint-medical-exemption/,897,52952,1.69%,18.83
https://myeyerx.net/alabama-window-tint-medical-exemption/,853,45235,1.89%,17.06
https://myeyerx.net/indiana-window-tint-medical-exemption/,818,35704,2.29%,26.59
https://myeyerx.net/virginia-window-tint-medical-exemption/,808,60577,1.33%,22.21
https://myeyerx.net/west-virginia-window-tint-medical-exemption/,690,13462,5.13%,15.49
https://myeyerx.net/maryland-window-tint-medical-exemption/,673,61140,1.1%,23.46
https://myeyerx.net/illinois-window-tint-medical-exemption/,672,46002,1.46%,27.29
https://myeyerx.net/missouri-window-tint-medical-exemption/,654,35743,1.83%,17.7
https://myeyerx.net/delaware-window-tint-medical-exemption/,653,85158,0.77%,6.72
https://myeyerx.net/north-carolina-window-tint-medical-exemption/,636,53059,1.2%,16.67
https://myeyerx.net/washington-window-tint-medical-exemption/,614,30972,1.98%,26.21
https://myeyerx.net/new-jersey-window-tint-medical-exemption/,590,54166,1.09%,15.27
https://myeyerx.net/massachusetts-window-tint-medical-exemption/,562,58299,0.96%,20.96
https://myeyerx.net/arkansas-window-tint-medical-exemption/,553,18976,2.91%,18.89
https://myeyerx.net/georgia-window-tint-medical-exemption/,533,44707,1.19%,18.84
https://myeyerx.net/connecticut-window-tint-medical-exemption/,512,20283,2.52%,21.05
https://myeyerx.net/kansas-window-tint-medical-exemption/,498,14393,3.46%,22.67
https://myeyerx.net/utah-window-tint-medical-exemption/,495,22734,2.18%,33.85
https://myeyerx.net/tennessee-window-tint-medical-exemption/,463,29062,1.59%,20.7
https://myeyerx.net/louisiana-window-tint-medical-exemption/,420,25037,1.68%,26.08
https://myeyerx.net/mississippi-window-tint-medical-exemption/,416,21064,1.97%,15.92
https://myeyerx.net/colorado-window-tint-medical-exemption/,413,24893,1.66%,36.9
https://myeyerx.net/kentucky-window-tint-medical-exemption/,375,14298,2.62%,25.06
https://myeyerx.net/arizona-window-tint-medical-exemption/,371,31306,1.19%,32.74
https://myeyerx.net/can-you-get-a-window-tint-medical-exemption-for-astigmatism/,363,40697,0.89%,8.08
https://myeyerx.net/oregon-window-tint-medical-exemption/,360,14678,2.45%,21.25
https://myeyerx.net/maine-window-tint-medical-exemption/,348,10240,3.4%,12.33
https://myeyerx.net/iowa-window-tint-medical-exemption/,334,14312,2.33%,16.07
https://myeyerx.net/new-mexico-window-tint-medical-exemption/,324,7903,4.1%,14.62
https://myeyerx.net/product/minnesota-online-window-tint-medical-exemption-consultation/,322,7642,4.21%,9.48
https://myeyerx.net/product/michigan-online-window-tint-medical-exemption-consultation/,308,10313,2.99%,9.16
https://myeyerx.net/rhode-island-window-tint-medical-exemption/,266,13523,1.97%,16.44
https://myeyerx.net/idaho-window-tint-medical-exemption/,255,9361,2.72%,23.62
https://myeyerx.net/hawaii-window-tint-medical-exemption/,252,8406,3%,26.25
https://myeyerx.net/oklahoma-window-tint-medical-exemption/,251,14487,1.73%,26.35
https://myeyerx.net/product/texas-online-window-tint-medical-exemption-consultation/,249,5476,4.55%,8.05
https://myeyerx.net/new-hampshire-window-tint-medical-exemption/,243,17065,1.42%,19.43
https://myeyerx.net/qualifying-medical-conditions-for-tint-exemption-in-ny/,240,27331,0.88%,14.39
https://myeyerx.net/about/,234,11468,2.04%,12.9
https://myeyerx.net/online-medical-exemption-for-window-tint/,229,18771,1.22%,8.5
https://myeyerx.net/window-tint-laws-by-state/minnesota-legal-tint/,192,42717,0.45%,25.74
https://myeyerx.net/nevada-window-tint-medical-exemption/,179,13698,1.31%,32.33
https://myeyerx.net/window-tint-laws-by-state/texas-legal-tint/,173,72093,0.24%,24.34
https://myeyerx.net/window-tint-laws-by-state/michigan-legal-tint/,173,67440,0.26%,15.62
https://myeyerx.net/nebraska-window-tint-medical-exemption/,172,13919,1.24%,39.11
https://myeyerx.net/alaska-window-tint-medical-exemption/,172,5277,3.26%,22.26
https://myeyerx.net/product/new-york-online-window-tint-medical-exemption-consultation/,167,7166,2.33%,16.05
https://myeyerx.net/can-you-get-a-window-tint-medical-exemption-for-migraines/,166,11614,1.43%,7.65
https://myeyerx.net/north-dakota-window-tint-medical-exemption/,164,5622,2.92%,23.08
https://myeyerx.net/product/florida-online-window-tint-medical-exemption-consultation/,162,5903,2.74%,12.7
https://myeyerx.net/product/south-carolina-online-window-tint-medical-exemption-consultation/,149,3956,3.77%,8.68
https://myeyerx.net/product/virginia-online-window-tint-medical-exemption-consultation/,147,6939,2.12%,9.89
https://myeyerx.net/product/north-carolina-online-window-tint-medical-exemption-consultation/,142,6628,2.14%,9.82
https://myeyerx.net/product/west-virginia-online-window-tint-medical-exemption-consultation/,141,4037,3.49%,23.43
https://myeyerx.net/product/wisconsin-online-window-tint-medical-exemption-consultation/,129,5465,2.36%,15.38
https://myeyerx.net/window-tint-laws-by-state/new-york-legal-tint/,127,53000,0.24%,29.21
https://myeyerx.net/product/massachusetts-online-window-tint-medical-exemption-consultation/,121,4590,2.64%,12.6
https://myeyerx.net/product/california-online-window-tint-medical-exemption-consultation/,114,4018,2.84%,16.63
https://myeyerx.net/window-tint-laws-by-state/connecticut-legal-tint/,112,28711,0.39%,11.83
https://myeyerx.net/window-tint-laws-by-state/ohio-legal-tint/,108,61546,0.18%,24.77
https://myeyerx.net/window-tint-laws-by-state/arkansas-legal-tint/,107,36940,0.29%,10.93
https://myeyerx.net/product-category/online-window-tint-medical-exemption-consultation/,107,21516,0.5%,7.06
https://myeyerx.net/product/ohio-online-window-tint-medical-exemption-consultation/,107,7296,1.47%,14.15
https://myeyerx.net/south-dakota-window-tint-medical-exemption/,106,3727,2.84%,22.25
https://myeyerx.net/montana-window-tint-medical-exemption/,106,3556,2.98%,18.62
https://myeyerx.net/product/missouri-online-window-tint-medical-exemption-consultation/,105,4117,2.55%,16.49
https://myeyerx.net/window-tint-laws-by-state/pennsylvania-legal-tint/,104,31243,0.33%,26.98
https://myeyerx.net/window-tint-laws-by-state/massachusetts-legal-tint/,97,31447,0.31%,16.15
https://myeyerx.net/product/illinois-online-window-tint-medical-exemption-consultation/,97,5009,1.94%,12.26
https://myeyerx.net/window-tint-laws-by-state/,95,133418,0.07%,53.27
https://myeyerx.net/can-you-get-a-window-tint-medical-exemption-for-lasik-surgery/,94,2542,3.7%,8.27
https://myeyerx.net/vermont-window-tint-medical-exemption/,93,3167,2.94%,15.3
https://myeyerx.net/product/georgia-online-window-tint-medical-exemption-consultation/,91,6506,1.4%,9.96
https://myeyerx.net/window-tint-laws-by-state/utah-legal-tint/,89,20784,0.43%,22.61
https://myeyerx.net/faqs/,87,6554,1.33%,6.42
https://myeyerx.net/window-tint-laws-by-state/nebraska-legal-tint/,86,30823,0.28%,10.77
https://myeyerx.net/product/maryland-online-window-tint-medical-exemption-consultation/,85,4322,1.97%,16.18
https://myeyerx.net/window-tint-laws-by-state/iowa-legal-tint/,80,22776,0.35%,18.34
https://myeyerx.net/product/arkansas-online-window-tint-medical-exemption-consultation/,78,4918,1.59%,26.05
https://myeyerx.net/product/new-jersey-online-window-tint-medical-exemption-consultation/,76,3225,2.36%,14.35
