Date,Clicks,Impressions,CTR,Position
2026-02-18,2,211,0.95%,11.5
2026-02-19,5,398,1.26%,8.9
2026-02-20,4,198,2.02%,12.2
2026-02-21,5,111,4.5%,12.7
2026-02-22,1,100,1%,15.5
2026-02-23,1,104,0.96%,11.5
2026-02-24,3,149,2.01%,12.7
2026-02-25,6,220,2.73%,12.5
2026-02-26,7,355,1.97%,9.7
2026-02-27,10,297,3.37%,9.7
2026-02-28,4,178,2.25%,10
2026-03-01,8,197,4.06%,10.9
2026-03-02,14,312,4.49%,9.6
2026-03-03,12,455,2.64%,8.9
2026-03-04,9,359,2.51%,10.8
2026-03-05,2,172,1.16%,13
2026-03-06,6,182,3.3%,13
2026-03-07,4,192,2.08%,12.2
2026-03-08,4,165,2.42%,13.1
2026-03-09,8,357,2.24%,12.5
2026-03-10,8,336,2.38%,10.6
2026-03-11,3,198,1.52%,11.6
2026-03-12,6,242,2.48%,10.3
2026-03-13,5,261,1.92%,10.1
2026-03-14,6,251,2.39%,11.6
2026-03-15,7,309,2.27%,10
2026-03-16,7,525,1.33%,10.7
2026-03-17,7,506,1.38%,10.5
2026-03-18,7,437,1.6%,11.3
2026-03-19,7,580,1.21%,9.7
2026-03-20,3,609,0.49%,10.9
2026-03-21,2,466,0.43%,10.5
2026-03-22,12,382,3.14%,11.4
2026-03-23,12,457,2.63%,12.3
2026-03-24,14,491,2.85%,11.1
2026-03-25,8,541,1.48%,10.6
2026-03-26,9,481,1.87%,11.4
