Country,Clicks,Impressions,CTR,Position
United States,236,10662,2.21%,11.02
Germany,1,15,6.67%,28.93
Puerto Rico,1,4,25%,12
Brazil,0,167,0%,8.69
United Kingdom,0,82,0%,9.22
Canada,0,60,0%,9.77
India,0,44,0%,12.3
France,0,42,0%,8.52
Argentina,0,35,0%,7.09
Mexico,0,34,0%,9.12
Spain,0,31,0%,7.71
Turkey,0,30,0%,7.9
Colombia,0,30,0%,9.67
Ecuador,0,28,0%,7.43
Indonesia,0,27,0%,12.44
Vietnam,0,26,0%,12.92
Italy,0,25,0%,10.32
Philippines,0,22,0%,6.32
Malaysia,0,19,0%,7.84
Chile,0,18,0%,9.61
Portugal,0,17,0%,7.59
China,0,17,0%,10.71
Peru,0,16,0%,7.38
Australia,0,14,0%,8.5
Hong Kong,0,13,0%,6.69
Netherlands,0,12,0%,19.08
Morocco,0,11,0%,9.09
Bangladesh,0,11,0%,9.18
Poland,0,10,0%,10.2
Singapore,0,10,0%,10.2
Iran,0,9,0%,8.11
Ukraine,0,9,0%,11
Serbia,0,8,0%,6.5
Algeria,0,8,0%,9.25
Saudi Arabia,0,8,0%,25.88
Greece,0,7,0%,7
Japan,0,7,0%,8.57
Dominican Republic,0,7,0%,10.86
Romania,0,7,0%,14.14
Uruguay,0,6,0%,4.83
Iraq,0,6,0%,7
Ireland,0,6,0%,7.17
Sweden,0,6,0%,12.17
Thailand,0,6,0%,13.33
Egypt,0,6,0%,18
Pakistan,0,5,0%,7.2
Jamaica,0,5,0%,13.8
New Zealand,0,5,0%,16.4
Hungary,0,5,0%,18
Belgium,0,4,0%,5
Paraguay,0,4,0%,5.75
South Korea,0,4,0%,7.25
Taiwan,0,4,0%,8.25
Bulgaria,0,4,0%,11
Venezuela,0,4,0%,26.25
Bahamas,0,3,0%,3
Russia,0,3,0%,4.33
Moldova,0,3,0%,5
Kosovo,0,3,0%,5.33
Costa Rica,0,3,0%,5.67
Czechia,0,3,0%,6.67
Lithuania,0,3,0%,6.67
Israel,0,3,0%,8
Kazakhstan,0,3,0%,8.33
Norway,0,3,0%,9
Trinidad & Tobago,0,3,0%,10
United Arab Emirates,0,3,0%,10.33
Slovakia,0,3,0%,12
Albania,0,3,0%,19.33
Austria,0,3,0%,26
Tunisia,0,2,0%,3
Denmark,0,2,0%,5
Guyana,0,2,0%,5
Belarus,0,2,0%,5.5
Cambodia,0,2,0%,5.5
Senegal,0,2,0%,5.5
Bosnia & Herzegovina,0,2,0%,6
Uzbekistan,0,2,0%,6.5
Cuba,0,2,0%,7
Jordan,0,2,0%,7
Angola,0,2,0%,10
Bolivia,0,2,0%,10
Georgia,0,2,0%,34.5
Barbados,0,1,0%,1
Dominica,0,1,0%,1
Nicaragua,0,1,0%,1
Suriname,0,1,0%,1
Slovenia,0,1,0%,1
Mongolia,0,1,0%,2
South Africa,0,1,0%,2
Syria,0,1,0%,3
Cook Islands,0,1,0%,5
Cyprus,0,1,0%,5
Iceland,0,1,0%,6
Belize,0,1,0%,7
Gibraltar,0,1,0%,7
Croatia,0,1,0%,7
Montenegro,0,1,0%,7
Palestine,0,1,0%,7
Honduras,0,1,0%,8
Kenya,0,1,0%,8
Zimbabwe,0,1,0%,8
Ethiopia,0,1,0%,9
Kyrgyzstan,0,1,0%,9
Libya,0,1,0%,9
Qatar,0,1,0%,9
Myanmar (Burma),0,1,0%,10
Nigeria,0,1,0%,10
Nepal,0,1,0%,10
Panama,0,1,0%,10
Afghanistan,0,1,0%,15
Benin,0,1,0%,28
Finland,0,1,0%,30
Côte d’Ivoire,0,1,0%,92
