Top pages,Clicks,Impressions,CTR,Position
https://www.onlinetintexemption.com/,100,1525,6.56%,7.65
https://www.onlinetintexemption.com/new-york-window-tint-medical-exemption,48,3514,1.37%,11.01
https://www.onlinetintexemption.com/florida-window-tint-medical-exemption,23,1465,1.57%,12.01
https://onlinetintexemption.com/new-york-window-tint-medical-exemption,12,650,1.85%,14.43
https://www.onlinetintexemption.com/conditions/astigmatism,11,2312,0.48%,8.8
https://www.onlinetintexemption.com/michigan-window-tint-medical-exemption,8,396,2.02%,13.85
https://www.onlinetintexemption.com/indiana-window-tint-medical-exemption,7,427,1.64%,18.07
https://onlinetintexemption.com/,7,197,3.55%,8.72
https://www.onlinetintexemption.com/texas-window-tint-medical-exemption,6,573,1.05%,11.32
https://www.onlinetintexemption.com/book/west-virginia,5,120,4.17%,16.17
https://onlinetintexemption.com/book,4,175,2.29%,9.29
https://www.onlinetintexemption.com/book/ohio,4,53,7.55%,8.34
https://www.onlinetintexemption.com/book,3,65,4.62%,9.48
https://www.onlinetintexemption.com/book/arkansas,2,35,5.71%,9.43
https://onlinetintexemption.com/indiana-window-tint-medical-exemption,1,172,0.58%,13.25
https://www.onlinetintexemption.com/book/washington-dc,1,23,4.35%,7.3
https://www.onlinetintexemption.com/california-window-tint-medical-exemption,0,184,0%,23.2
https://www.onlinetintexemption.com/blog/smartphone-settings-eye-strain,0,85,0%,8.05
https://www.onlinetintexemption.com/conditions/xeroderma-pigmentosum,0,36,0%,11.06
https://www.onlinetintexemption.com/blog,0,31,0%,9.84
https://www.onlinetintexemption.com/about,0,24,0%,10.88
https://www.onlinetintexemption.com/faq,0,21,0%,5.71
https://onlinetintexemption.com/california-window-tint-medical-exemption,0,20,0%,10.4
https://onlinetintexemption.com/florida-window-tint-medical-exemption,0,20,0%,10.4
https://onlinetintexemption.com/texas-window-tint-medical-exemption,0,20,0%,10.4
https://www.onlinetintexemption.com/book/california,0,20,0%,12.5
https://onlinetintexemption.com/#states,0,18,0%,10.33
https://onlinetintexemption.com/michigan-window-tint-medical-exemption,0,18,0%,10.33
https://onlinetintexemption.com/ohio-window-tint-medical-exemption,0,18,0%,10.33
https://www.onlinetintexemption.com/book/indiana,0,16,0%,3.44
https://www.onlinetintexemption.com/book/maryland,0,15,0%,11
https://www.onlinetintexemption.com/book/new-mexico,0,14,0%,9.29
https://www.onlinetintexemption.com/contact,0,12,0%,5
https://www.onlinetintexemption.com/vermont-window-tint-medical-exemption,0,12,0%,6.17
https://www.onlinetintexemption.com/conditions/lupus,0,10,0%,8.6
https://onlinetintexemption.com/book/utah,0,9,0%,6.22
https://www.onlinetintexemption.com/book/texas,0,9,0%,11
https://onlinetintexemption.com/conditions/xeroderma-pigmentosum,0,7,0%,5.71
https://www.onlinetintexemption.com/blog/light-sensitive-home-office-setup,0,7,0%,12.86
https://www.onlinetintexemption.com/tennessee-window-tint-medical-exemption,0,3,0%,7.33
https://www.onlinetintexemption.com/book/alaska,0,2,0%,4.5
https://www.onlinetintexemption.com/iowa-window-tint-medical-exemption,0,2,0%,6
