Month,Pos1,Pos2-3,Pos4-10,Pos11-20,Pos21-30,Pos31-40,Pos41-50,Pos51-100,TotalKWs,ETV,NewKWs,LostKWs,UpKWs,DownKWs
2020-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05,0,0,0,0,1,0,0,1,2,0,2,0,0,0
2022-06,0,0,0,0,1,0,0,2,3,2,3,0,0,0
2022-07,0,0,0,0,1,0,0,2,3,3,1,1,2,0
2022-08,0,0,0,0,1,0,0,3,4,3,2,0,1,1
2022-09,0,1,0,0,1,0,0,4,6,119,4,0,1,0
2022-10,1,0,0,0,1,2,2,9,15,271,10,0,5,0
2022-11,1,0,0,0,1,6,3,8,19,272,10,1,8,1
2022-12,0,1,0,1,3,5,2,8,20,148,10,3,6,4
2023-01,1,0,6,3,3,3,1,10,27,326,8,0,19,0
2023-02,1,0,7,3,3,1,1,16,32,353,12,3,16,3
2023-03,0,1,10,1,3,1,5,26,47,240,21,1,21,4
2023-04,0,1,11,5,4,3,4,38,66,499,34,7,24,6
2023-05,1,1,13,2,7,6,8,45,83,497,36,12,31,9
2023-06,2,2,14,5,8,7,8,56,102,528,44,13,33,17
2023-07,3,2,14,7,6,8,2,37,79,559,23,40,23,20
2023-08,3,3,15,6,3,5,2,30,67,479,15,34,20,22
2023-09,2,5,14,6,6,4,5,33,75,631,23,15,27,16
2023-10,2,4,14,5,5,4,5,51,90,581,38,10,29,18
2023-11,2,2,15,5,5,6,4,52,91,543,31,16,23,28
2023-12,2,1,20,7,6,5,3,36,80,540,25,30,26,19
2024-01,2,4,17,9,8,4,9,34,87,565,29,18,30,18
2024-02,2,8,17,11,16,3,8,76,141,706,64,11,41,25
2024-03,3,7,47,70,85,119,73,242,646,1422,569,26,48,19
2024-04,10,26,314,993,646,406,255,488,3138,9615,2974,285,133,21
2024-05,16,53,550,1421,794,411,171,567,3983,14287,2218,792,1541,133
2024-06,21,72,762,1521,741,345,179,652,4293,19152,1827,708,2029,275
2024-07,23,100,739,1501,773,337,221,711,4405,19877,1435,942,1475,1113
2024-08,22,93,699,1555,775,532,347,1032,5055,18082,1925,1206,1075,1728
2024-09,23,112,801,1822,917,584,376,1043,5678,28766,1964,1743,1480,1838
2024-10,24,108,804,1824,944,599,377,1028,5708,29083,1953,1869,1465,1892
2024-11,24,85,687,1695,988,667,433,1073,5652,26346,3815,3378,618,1050
2024-12,25,94,644,1616,932,562,436,1006,5315,20719,4765,4365,193,320
2025-01,30,104,611,1458,888,450,336,655,4532,13398,4462,4383,21,41
2025-02,23,84,614,1498,932,502,328,615,4596,13205,3053,2850,564,768
2025-03,19,75,606,1544,935,461,288,591,4519,11670,1435,1161,1246,1443
2025-04,14,68,526,1472,931,430,300,508,4249,11401,1056,1110,997,1799
2025-05,15,69,520,1506,964,420,302,519,4315,11122,1066,987,1124,1698
2025-06,15,76,491,1400,996,398,319,501,4196,9765,928,901,1196,1641
2025-07,10,49,352,968,881,598,450,767,4075,7471,930,1039,589,2347
2025-08,6,14,228,699,787,609,525,1121,3989,5424,1096,1077,308,2491
2025-09,5,13,171,623,729,589,590,1585,4305,5317,1471,1082,431,2253
2025-10,5,19,129,509,714,728,601,1674,4379,4710,1743,1378,474,2028
2025-11,4,13,96,390,704,814,641,1736,4398,4855,1677,1716,567,2043
2025-12,0,6,60,275,585,766,641,1757,4090,3957,1532,1758,544,1906
2026-01,0,4,65,270,567,785,669,1598,3958,3711,1663,1700,956,1210
2026-02,1,4,36,155,290,469,464,1531,2950,2708,1650,2481,376,884
2026-03,1,4,31,106,230,378,485,1608,2843,3270,1692,2668,270,860
