Keyword,SearchVolume,Position,URL,Type,CPC,Competition
"my eye rx",70,1,"/",organic,5.889999866485596,0.1599999964237213
"is myeyerx legit",20,2,"/about/",organic,0,0
"myeyerx reviews",70,2,"/online-medical-exemption-for-window-tint",organic,1.8199999332427979,0.029999999329447746
"myeyerx.net reviews",20,3,"/",organic,0,0.009999999776482582
"window tint for astigmatism",50,3,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0.009999999776482582,0.029999999329447746
"window tint prescription online florida",70,4,"/",organic,0,0
"alabama window tint exemption form",30,5,"/alabama-window-tint-medical-exemption/",organic,1.9900000095367432,0.05999999865889549
"astigmatism tint",30,5,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0.019999999552965164
"does tinted windows help with astigmatism",20,5,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0
"nh tint waiver form",20,5,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.019999999552965164
"ri tint exemption",30,5,"/rhode-island-window-tint-medical-exemption/",organic,1.8600000143051147,0.029999999329447746
"tint exemption georgia",110,5,"/georgia-window-tint-medical-exemption/",organic,1.9900000095367432,0.14000000059604645
"virginia tint exemption",50,5,"/virginia-window-tint-medical-exemption/",organic,0,0.03999999910593033
"alabama window tint exemption form pdf",30,6,"/alabama-window-tint-medical-exemption/",organic,0,0.009999999776482582
"arkansas window tint exemption form",30,6,"/arkansas-window-tint-medical-exemption/",organic,0,0.07000000029802322
"georgia tint exemption",70,6,"/georgia-window-tint-medical-exemption/",organic,0,0.07000000029802322
"tint exemption mn",50,6,"/minnesota-window-tint-medical-exemption/",organic,1.850000023841858,0.15000000596046448
"window tint exemption georgia",70,6,"/georgia-window-tint-medical-exemption/",organic,1.8199999332427979,0.11999999731779099
"can you get dark tint for astigmatism",20,7,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0
"maine tint exemption",20,7,"/maine-window-tint-medical-exemption/",organic,0,0.07999999821186066
"nh tint waiver",50,7,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.03999999910593033
"virginia tint waiver",20,7,"/virginia-window-tint-medical-exemption/",organic,0,0.009999999776482582
